pincode,city,koo,sta,state,ko,ui,cou,lt,lon,ui
133340,Palasa,4017,AP,"Andhra Pradesh",101,IN,India,18.77257000,84.41012000,Q1797254
133534,Palkonda,4017,AP,"Andhra Pradesh",101,IN,India,18.60374000,83.75568000,Q3415029
133331,Pallevada,4017,AP,"Andhra Pradesh",101,IN,India,16.57790000,81.29463000,Q7127847
133336,Palmaner,4017,AP,"Andhra Pradesh",101,IN,India,13.20000000,78.74725000,Q1752584
133361,Parlakimidi,4017,AP,"Andhra Pradesh",101,IN,India,18.78113000,84.08836000,Q1797389
133549,Parvatipuram,4017,AP,"Andhra Pradesh",101,IN,India,18.78392000,83.42569000,Q1925363
133395,Pavuluru,4017,AP,"Andhra Pradesh",101,IN,India,15.85292000,80.16468000,Q2249295
133400,Pedana,4017,AP,"Andhra Pradesh",101,IN,India,16.25582000,81.14378000,Q2563472
134447,"pedda nakkalapalem",4017,AP,"Andhra Pradesh",101,IN,India,15.86680000,80.16202000,Q663062
133402,Peddapuram,4017,AP,"Andhra Pradesh",101,IN,India,17.07701000,82.13836000,Q7159047
133409,Penugonda,4017,AP,"Andhra Pradesh",101,IN,India,16.65363000,81.74550000,Q2716197
133410,Penukonda,4017,AP,"Andhra Pradesh",101,IN,India,14.08286000,77.59473000,Q2572975
133440,Phirangipuram,4017,AP,"Andhra Pradesh",101,IN,India,16.29078000,80.26233000,Q3430158
133455,Pippara,4017,AP,"Andhra Pradesh",101,IN,India,16.71667000,81.55000000,Q2720099
133465,Pithapuram,4017,AP,"Andhra Pradesh",101,IN,India,17.11680000,82.25284000,Q2563530
133468,Polavaram,4017,AP,"Andhra Pradesh",101,IN,India,17.24754000,81.64372000,Q3420642
133476,Ponnur,4017,AP,"Andhra Pradesh",101,IN,India,16.07114000,80.54944000,Q720891
133478,Ponnuru,4017,AP,"Andhra Pradesh",101,IN,India,16.06547000,80.55203000,Q2568315
133485,Prakasam,4017,AP,"Andhra Pradesh",101,IN,India,15.50000000,79.50000000,Q15390
133489,Proddatur,4017,AP,"Andhra Pradesh",101,IN,India,14.75020000,78.54813000,Q2349966
133497,Pulivendla,4017,AP,"Andhra Pradesh",101,IN,India,14.42139000,78.22502000,Q2719107
133506,Punganuru,4017,AP,"Andhra Pradesh",101,IN,India,13.36672000,78.57186000,Q1854679
133517,Puttaparthi,4017,AP,"Andhra Pradesh",101,IN,India,14.16520000,77.81170000,Q1068595
133519,Puttur,4017,AP,"Andhra Pradesh",101,IN,India,13.44189000,79.55314000,Q1945739
133671,Rajahmundry,4017,AP,"Andhra Pradesh",101,IN,India,17.00517000,81.77784000,Q1639492
133691,Ramachandrapuram,4017,AP,"Andhra Pradesh",101,IN,India,16.83636000,82.02871000,Q542856
133600,Ramanayyapeta,4017,AP,"Andhra Pradesh",101,IN,India,16.94516000,82.23850000,Q2229781
133712,Ramapuram,4017,AP,"Andhra Pradesh",101,IN,India,15.28749000,77.86722000,Q1605050
133605,Rampachodavaram,4017,AP,"Andhra Pradesh",101,IN,India,17.44088000,81.77558000,Q2010452
133729,Rayachoti,4017,AP,"Andhra Pradesh",101,IN,India,14.05723000,78.75056000,Q2349951
133730,Rayadrug,4017,AP,"Andhra Pradesh",101,IN,India,14.69971000,76.85241000,Q2349951
133734,Razam,4017,AP,"Andhra Pradesh",101,IN,India,18.44909000,83.65957000,Q3537413
133732,Razampeta,4017,AP,"Andhra Pradesh",101,IN,India,14.19544000,79.15896000,Q3537413
133733,Razole,4017,AP,"Andhra Pradesh",101,IN,India,16.47608000,81.83912000,Q3537413
133627,Renigunta,4017,AP,"Andhra Pradesh",101,IN,India,13.65143000,79.51256000,Q720932
133630,Repalle,4017,AP,"Andhra Pradesh",101,IN,India,16.01840000,80.82958000,Q2483836
134065,Salur,4017,AP,"Andhra Pradesh",101,IN,India,18.51716000,83.20548000,Q2563482
134066,Samalkot,4017,AP,"Andhra Pradesh",101,IN,India,17.05675000,82.17639000,Q2563482
133822,Sattenapalle,4017,AP,"Andhra Pradesh",101,IN,India,16.39381000,80.15221000,Q3445011
133946,Singarayakonda,4017,AP,"Andhra Pradesh",101,IN,India,15.23046000,80.02794000,Q720856
133990,Sompeta,4017,AP,"Andhra Pradesh",101,IN,India,18.94419000,84.58449000,Q607071
134019,Srikakulam,4017,AP,"Andhra Pradesh",101,IN,India,18.29890000,83.89751000,Q671757
134032,Srisailain,4017,AP,"Andhra Pradesh",101,IN,India,16.07217000,78.86816000,Q2269015
134093,Suluru,4017,AP,"Andhra Pradesh",101,IN,India,13.70000000,80.01667000,Q2248468
134226,Tadepalle,4017,AP,"Andhra Pradesh",101,IN,India,16.48333000,80.60000000,Q2738731
134227,Tadepallegudem,4017,AP,"Andhra Pradesh",101,IN,India,16.81467000,81.52717000,Q2235626
134228,Tadpatri,4017,AP,"Andhra Pradesh",101,IN,India,14.90832000,78.01031000,Q2336339
134113,Tanuku,4017,AP,"Andhra Pradesh",101,IN,India,16.75438000,81.68143000,Q2566481
134126,Tekkali,4017,AP,"Andhra Pradesh",101,IN,India,18.60570000,84.23546000,Q429171
134183,Tirumala,4017,AP,"Andhra Pradesh",101,IN,India,13.68333000,79.35000000,Q3424247
134187,Tirupati,4017,AP,"Andhra Pradesh",101,IN,India,13.63551000,79.41989000,Q213248
134222,Tuni,4017,AP,"Andhra Pradesh",101,IN,India,17.35905000,82.54607000,Q2576041
134292,Uravakonda,4017,AP,"Andhra Pradesh",101,IN,India,14.94348000,77.25494000,Q736330
134448,vadlamuru,4017,AP,"Andhra Pradesh",101,IN,India,17.09545000,82.16565000,Q663062
134308,Vadlapudi,4017,AP,"Andhra Pradesh",101,IN,India,14.31119000,79.80430000,Q2449175
134347,Venkatagiri,4017,AP,"Andhra Pradesh",101,IN,India,13.96005000,79.58032000,Q719838
134348,Vepagunta,4017,AP,"Andhra Pradesh",101,IN,India,17.77844000,83.21577000,Q720888
134350,Vetapalem,4017,AP,"Andhra Pradesh",101,IN,India,15.78502000,80.30663000,Q2563456
134356,Vijayawada,4017,AP,"Andhra Pradesh",101,IN,India,16.50745000,80.64660000,Q200017
134364,Vinukonda,4017,AP,"Andhra Pradesh",101,IN,India,16.05310000,79.73964000,Q2566502
134369,Visakhapatnam,4017,AP,"Andhra Pradesh",101,IN,India,17.68009000,83.20161000,Q200016
134373,Vizianagaram,4017,AP,"Andhra Pradesh",101,IN,India,18.11692000,83.41148000,Q3619248
134374,"Vizianagaram District",4017,AP,"Andhra Pradesh",101,IN,India,18.41102000,83.37677000,Q15392
134377,Vuyyuru,4017,AP,"Andhra Pradesh",101,IN,India,16.36307000,80.84406000,Q3418817
134407,"West Godavari",4017,AP,"Andhra Pradesh",101,IN,India,17.00000000,81.16667000,Q15404
134424,Yanam,4017,AP,"Andhra Pradesh",101,IN,India,16.73308000,82.21364000,Q1807929
134426,Yanamalakuduru,4017,AP,"Andhra Pradesh",101,IN,India,16.48531000,80.66746000,Q2126598
